CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15600000,Jones,545.0,France,Female,32,1.0,106460.53,2,1,0,37952.8,0
15600001,Hill,598.0,Germany,Female,48,7.0,67005.97,2,1,0,126320.56,0
15600002,Allen,676.0,France,Female,78,9.0,90690.77,1,0,0,6439.55,0
15600003,Perez,590.0,Germany,Female,37,8.0,86420.93,2,1,1,1066.08,0
15600004,Perez,623.0,France,Male,47,8.0,0.0,2,0,1,182550.18,1
15600005,Nelson,692.0,France,Male,61,1.0,103878.87,1,1,0,138.82,1
15600006,Jones,617.0,France,Male,55,9.0,75723.73,2,1,1,27176.13,0
15600007,Wright,672.0,Spain,Male,63,9.0,0.0,1,0,1,99729.89,0
15600008,Hernandez,803.0,France,Male,63,3.0,0.0,1,0,0,44068.72,0
15600009,Jones,634.0,France,Female,69,6.0,97043.9,1,1,0,80982.29,1
15600010,Clark,763.0,France,Male,41,0.0,146809.98,2,0,1,126552.06,0
15600011,Carter,704.0,France,Male,69,9.0,117813.97,2,0,0,54857.55,0
15600012,Torres,509.0,Germany,Male,60,0.0,88426.87,2,0,0,21936.67,1
15600013,Hill,544.0,France,Female,55,0.0,47236.09,1,1,0,33119.4,0
15600014,Scott,570.0,France,Female,54,6.0,83133.33,1,0,1,23789.45,0
15600015,Flores,568.0,France,Male,49,8.0,76864.48,2,1,0,101557.07,0
15600016,Sanchez,641.0,France,Female,54,8.0,0.0,1,1,0,20005.56,1
15600017,Miller,709.0,France,Female,55,10.0,0.0,2,0,0,78385.86,1
15600018,Adams,770.0,France,Female,71,0.0,146756.16,1,1,0,31398.86,1
15600019,Thompson,680.0,France,Female,47,7.0,154242.59,2,1,1,198294.18,0
15600020,Sanchez,607.0,France,Female,64,3.0,0.0,2,1,1,170453.8,0
15600021,Jackson,450.0,France,Female,49,10.0,49215.59,2,1,1,158043.75,0
15600022,Martinez,657.0,Germany,Male,36,3.0,0.0,2,1,1,143130.7,0
15600023,Campbell,652.0,France,Female,70,4.0,156178.88,1,1,0,189067.94,0
15600024,Flores,668.0,Spain,Male,40,3.0,0.0,1,0,0,50037.09,0
15600025,Allen,850.0,Spain,Male,57,7.0,53486.45,2,1,0,183910.51,0
15600026,Lee,769.0,Germany,Female,40,9.0,46162.74,4,1,1,91833.09,1
15600027,Adams,725.0,France,Female,60,6.0,68455.31,1,1,0,23311.15,1
